,return
346,-0.027262882362334637
347,-0.027262882362334637
348,-0.027262882362334637
349,-0.027262882362334637
350,-0.027262882362334637
351,-0.027262882362334637
352,-0.027262882362334637
353,-0.025519604686547435
354,-0.01366122044731351
355,-0.01366122044731351
356,-0.01366122044731351
357,-0.01366122044731351
358,-0.01359092338469144
359,-0.01359092338469144
360,-0.013149195471623737
361,-0.013149195471623737
362,-0.013857125363922864
363,-0.03367683065943363
364,-0.03450340438622935
365,-0.03450340438622935
366,-0.03450340438622935
367,-0.03450340438622935
368,-0.03450340438622935
369,-0.03450340438622935
370,-0.03450340438622935
371,-0.03450340438622935
372,-0.03450340438622935
373,-0.024110523628413358
374,-0.023341372028807227
375,-0.023694046834563647
376,-0.023694046834563647
377,-0.023694046834563647
378,-0.023694046834563647
379,-0.023694046834563647
380,-0.023694046834563647
381,-0.023694046834563647
382,-0.023694046834563647
383,-0.01875802805209229
384,-0.01875802805209229
385,-0.01487169063756337
386,-0.01487169063756337
387,-0.014985603001931056
388,-0.014985603001931056
389,-0.014985603001931056
390,-0.014985603001931056
391,-0.014985603001931056
392,-0.014985603001931056
393,-0.015142266538817745
394,-0.015142266538817745
395,-0.015142266538817745
396,-0.015142266538817745
397,-0.014743487289010225
398,-0.014743487289010225
399,-0.014743487289010225
400,-0.014743487289010225
401,-0.014743487289010225
402,-0.014743487289010225
403,-0.005127673580589277
404,-0.004908535879898581
405,-0.004908535879898581
406,-0.0033717225532008946
407,-0.0031569815954200797
408,-0.0036016615336784876
409,-0.0036016615336784876
410,-0.004118968725279466
411,-0.004118968725279466
412,-0.006545537296534984
413,-0.006545537296534984
414,-0.006545537296534984
415,-0.006545537296534984
416,-0.006545537296534984
417,-0.006545537296534984
418,-0.006545537296534984
419,-0.006545537296534984
420,-0.007092892484576717
421,-0.007092892484576717
422,-0.006766905477507271
423,-0.024091248456660126
424,-0.024770590682237265
425,-0.024770590682237265
426,-0.024770590682237265
427,-0.024770590682237265
428,-0.024770590682237265
429,-0.024770590682237265
430,-0.024770590682237265
431,-0.024770590682237265
432,-0.024770590682237265
433,-0.014663997335645218
434,-0.014498332170058095
435,-0.014498332170058095
436,-0.02446644215918671
437,-0.024381841035871904
438,-0.024381841035871904
439,-0.024381841035871904
440,-0.024381841035871904
441,-0.024381841035871904
442,-0.02445608265988124
443,-0.02445608265988124
444,-0.02445608265988124
445,-0.02445608265988124
446,-0.013940483694302086
447,-0.013940483694302086
448,-0.013940483694302086
449,-0.013940483694302086
450,-0.013940483694302086
451,-0.014443459868708167
452,-0.01369409738417072
453,-0.01369409738417072
454,-0.014137946035560088
455,-0.014137946035560088
456,-0.014137946035560088
457,-0.014137946035560088
458,-0.014137946035560088
459,-0.01853900357492692
460,-0.019776027393421623
461,-0.022643529028656347
462,-0.022643529028656347
463,-0.022643529028656347
464,-0.022643529028656347
465,-0.022643529028656347
466,-0.022643529028656347
467,-0.022643529028656347
468,-0.022643529028656347
469,-0.022643529028656347
470,-0.021509267366597373
471,-0.009666343090601652
472,-0.009666343090601652
473,-0.009666343090601652
474,-0.009666343090601652
475,-0.009666343090601652
476,-0.016257848130442638
477,-0.016257848130442638
478,-0.016257848130442638
479,-0.016257848130442638
480,-0.016257848130442638
481,-0.01580814612122287
482,-0.01580814612122287
483,-0.01580814612122287
484,-0.01580814612122287
485,-0.01580814612122287
486,-0.004786840770499028
487,-0.004786840770499028
488,-0.007517550417955043
489,-0.007517550417955043
490,-0.007663080600829087
491,-0.007663080600829087
492,-0.007663080600829087
493,-0.007687733524421787
494,-0.007687733524421787
495,-0.007687733524421787
496,-0.007687733524421787
497,-0.007687733524421787
498,-0.006774607578699815
499,-0.006774607578699815
500,-0.006648277745451505
501,-0.006648277745451505
502,-0.006648277745451505
503,-0.00511807781178735
504,-0.00511807781178735
505,-0.00511807781178735
506,-0.013035637105564395
507,-0.013032040602181556
508,-0.013032040602181556
509,-0.012801900972212742
